iter	Passed	Remaining
1013	14092	2585
1014	14106	2571
1015	14120	2557
1016	14133	2543
1017	14146	2529
1018	14160	2515
1019	14174	2501
1020	14188	2487
1021	14202	2473
1022	14216	2459
1023	14230	2445
1024	14243	2431
1025	14256	2417
1026	14270	2403
1027	14283	2389
1028	14297	2375
1029	14310	2361
1030	14324	2347
1031	14337	2334
1032	14351	2320
1033	14364	2306
1034	14378	2292
1035	14391	2278
1036	14405	2264
1037	14418	2250
1038	14432	2236
1039	14446	2222
1040	14459	2208
1041	14473	2194
1042	14486	2180
1043	14500	2166
1044	14513	2152
1045	14527	2138
1046	14541	2124
1047	14555	2111
1048	14568	2097
1049	14582	2083
1050	14597	2069
1051	14611	2055
1052	14625	2041
1053	14639	2027
1054	14652	2013
1055	14667	2000
1056	14680	1986
1057	14693	1972
1058	14707	1958
1059	14721	1944
1060	14735	1930
1061	14748	1916
1062	14763	1902
1063	14776	1888
1064	14790	1874
1065	14803	1860
1066	14817	1847
1067	14831	1833
1068	14846	1819
1069	14859	1805
1070	14873	1791
1071	14888	1777
1072	14902	1763
1073	14915	1749
1074	14929	1735
1075	14942	1722
1076	14956	1708
1077	14969	1694
1078	14982	1680
1079	14996	1666
1080	15010	1652
1081	15025	1638
1082	15039	1624
1083	15053	1610
1084	15066	1596
1085	15080	1583
1086	15093	1569
1087	15108	1555
1088	15122	1541
1089	15136	1527
1090	15149	1513
1091	15163	1499
1092	15178	1485
1093	15191	1471
1094	15205	1458
1095	15219	1444
1096	15233	1430
1097	15247	1416
1098	15260	1402
1099	15274	1388
1100	15288	1374
1101	15301	1360
1102	15315	1346
1103	15328	1332
1104	15342	1319
1105	15355	1305
1106	15369	1291
1107	15383	1277
1108	15396	1263
1109	15410	1249
1110	15424	1235
1111	15438	1221
1112	15451	1207
1113	15465	1193
1114	15479	1180
1115	15492	1166
1116	15506	1152
1117	15520	1138
1118	15534	1124
1119	15547	1110
1120	15561	1096
1121	15574	1082
1122	15588	1068
1123	15602	1054
1124	15615	1041
1125	15629	1027
1126	15643	1013
1127	15657	999
1128	15670	985
1129	15683	971
1130	15698	957
1131	15711	943
1132	15725	929
1133	15738	916
1134	15753	902
1135	15767	888
1136	15781	874
1137	15794	860
1138	15808	846
1139	15822	832
1140	15835	818
1141	15849	804
1142	15863	791
1143	15876	777
1144	15891	763
1145	15904	749
1146	15918	735
1147	15932	721
1148	15945	707
1149	15960	693
1150	15973	680
1151	15987	666
1152	16000	652
1153	16014	638
1154	16028	624
1155	16042	610
1156	16056	596
1157	16069	582
1158	16083	568
1159	16097	555
1160	16111	541
1161	16146	528
1162	16207	515
1163	16263	502
1164	16315	490
1165	16362	477
1166	16399	463
1167	16415	449
1168	16429	435
1169	16443	421
1170	16456	407
1171	16470	393
1172	16483	379
1173	16498	365
1174	16534	351
1175	16557	337
1176	16573	323
1177	16587	309
1178	16601	295
1179	16614	281
1180	16627	267
1181	16640	253
1182	16654	239
1183	16667	225
1184	16680	211
1185	16694	197
1186	16709	182
1187	16722	168
1188	16736	154
1189	16750	140
1190	16764	126
1191	16777	112
1192	16791	98
1193	16805	84
1194	16819	70
1195	16833	56
1196	16847	42
1197	16861	28
1198	16875	14
1199	16888	0
